KINETIC_KINEMATIC::LFT::DistEndPos
File	Frame	X 	Y 	Z 
 - 	208	7.380653	-3.646338	0.131945
 - 	209	7.374380	-3.645291	0.125994
 - 	210	7.368077	-3.643768	0.119727
 - 	211	7.362174	-3.642249	0.114151
 - 	212	7.356952	-3.641165	0.109343
 - 	213	7.354921	-3.642359	0.105632
 - 	214	7.357237	-3.643785	0.104608
 - 	215	7.362279	-3.645921	0.104371
 - 	216	7.368515	-3.648978	0.103871
 - 	217	7.374530	-3.652567	0.103434
 - 	218	7.379976	-3.655677	0.102679
 - 	219	7.384381	-3.659401	0.101942
 - 	220	7.386824	-3.661483	0.100633
 - 	221	7.387244	-3.655620	0.103016
 - 	222	7.389972	-3.651707	0.105443
 - 	223	7.391933	-3.651096	0.107905
 - 	224	7.393592	-3.651747	0.109396
 - 	225	7.395288	-3.653127	0.112069
 - 	226	7.397448	-3.653457	0.114734
 - 	227	7.398208	-3.654078	0.116435
 - 	228	7.398595	-3.654830	0.116897
 - 	229	7.398771	-3.655574	0.116629
 - 	230	7.398004	-3.656065	0.116211
 - 	231	7.396356	-3.657066	0.116085
 - 	232	7.394950	-3.657522	0.115190
 - 	233	7.395127	-3.656863	0.114379
 - 	234	7.396315	-3.655582	0.113519
 - 	235	7.397385	-3.654891	0.112939
 - 	236	7.398182	-3.654450	0.112727
 - 	237	7.398518	-3.653991	0.112588
 - 	238	7.398531	-3.653533	0.113525
 - 	239	7.398880	-3.653625	0.114615
 - 	240	7.399436	-3.654178	0.115861
 - 	241	7.399476	-3.654230	0.115402
 - 	242	7.399865	-3.653880	0.113558
 - 	243	7.399568	-3.655751	0.110138
 - 	244	7.399283	-3.660182	0.106377
 - 	245	7.399378	-3.666729	0.104172
 - 	246	7.398973	-3.673725	0.104404
 - 	247	7.398098	-3.681564	0.104312
 - 	248	7.397574	-3.687882	0.104772
 - 	249	7.397440	-3.693668	0.104898
 - 	250	7.397508	-3.698089	0.104963
 - 	251	7.398773	-3.699608	0.104348
 - 	252	7.400881	-3.695776	0.102419
 - 	253	7.400967	-3.685085	0.100658
 - 	254	7.399470	-3.671677	0.103549
 - 	255	7.399685	-3.671266	0.106806
 - 	256	7.397663	-3.670696	0.105717
 - 	257	7.398231	-3.670648	0.105886
 - 	258	7.397971	-3.671426	0.107912
 - 	259	7.398301	-3.671877	0.109964
 - 	260	7.398016	-3.673019	0.111070
 - 	261	7.397950	-3.674084	0.111260
 - 	262	7.397872	-3.674756	0.111292
 - 	263	7.398465	-3.674959	0.111797
 - 	264	7.399505	-3.675251	0.110881
 - 	265	7.400955	-3.675465	0.109551
 - 	266	7.400732	-3.675372	0.109230
 - 	267	7.400088	-3.674653	0.109274
 - 	268	7.399132	-3.673528	0.109433
 - 	269	7.398584	-3.672132	0.107986
 - 	270	7.397677	-3.671310	0.106032
 - 	271	7.395968	-3.671392	0.103717
 - 	272	7.394785	-3.672277	0.101942
 - 	273	7.393806	-3.674717	0.100892
 - 	274	7.393230	-3.678252	0.101434
 - 	275	7.393029	-3.683536	0.101551
 - 	276	7.392486	-3.689102	0.102027
 - 	277	7.391749	-3.694489	0.102439
 - 	278	7.391079	-3.698523	0.102889
 - 	279	7.390218	-3.701518	0.102874
 - 	280	7.390196	-3.703006	0.102496
 - 	281	7.391413	-3.702441	0.101464
 - 	282	7.392499	-3.698144	0.099877
 - 	283	7.392558	-3.688494	0.098152
 - 	284	7.391918	-3.678589	0.103112
 - 	285	7.393448	-3.679122	0.103978
 - 	286	7.394969	-3.676400	0.102261
 - 	287	7.396071	-3.676073	0.102348
 - 	288	7.395037	-3.676174	0.104186
 - 	289	7.394360	-3.675264	0.105537
 - 	290	7.393375	-3.674816	0.105670
 - 	291	7.391881	-3.674782	0.104347
 - 	292	7.389984	-3.674177	0.102769
 - 	293	7.387737	-3.672978	0.101997
 - 	294	7.387253	-3.670175	0.102468
 - 	295	7.388252	-3.664407	0.105203
 - 	296	7.388686	-3.656448	0.108298
 - 	297	7.387536	-3.646991	0.111606
 - 	298	7.384597	-3.636654	0.114803
 - 	299	7.379714	-3.625145	0.118041
 - 	300	7.373819	-3.612153	0.121097
 - 	301	7.368287	-3.597348	0.123967
 - 	302	7.363063	-3.580055	0.127293
 - 	303	7.358758	-3.561735	0.130575
 - 	304	7.355378	-3.542249	0.134307
 - 	305	7.352608	-3.522621	0.138671
 - 	306	7.351178	-3.504044	0.143420
 - 	307	7.351831	-3.486824	0.148244
 - 	308	7.353152	-3.471155	0.153696
 - 	309	7.355772	-3.457423	0.158375
 - 	310	7.358500	-3.446762	0.162265
 - 	311	7.360192	-3.440341	0.164768
 - 	312	7.360241	-3.437833	0.165848
 - 	313	7.360892	-3.438401	0.165171
 - 	314	7.361759	-3.441943	0.167092
 - 	315	7.365090	-3.443566	0.169213
 - 	316	7.367223	-3.445002	0.168006
 - 	317	7.368367	-3.444362	0.168191
 - 	318	7.367865	-3.442935	0.168286
 - 	319	7.366846	-3.443153	0.167938
 - 	320	7.363580	-3.444522	0.168096
 - 	321	7.361780	-3.445227	0.167715
 - 	322	7.361842	-3.445434	0.167361
 - 	323	7.361987	-3.445354	0.167273
 - 	324	7.361851	-3.445368	0.167456
 - 	325	7.361491	-3.445422	0.167963
 - 	326	7.360488	-3.445620	0.168704
 - 	327	7.359916	-3.446167	0.168943
 - 	328	7.359649	-3.446613	0.168963
 - 	329	7.359767	-3.446766	0.168797
 - 	330	7.359882	-3.446644	0.168555
 - 	331	7.359627	-3.446512	0.168280
 - 	332	7.359231	-3.446261	0.168340
 - 	333	7.358967	-3.446533	0.168313
 - 	334	7.358998	-3.446732	0.168214
 - 	335	7.358939	-3.446940	0.168009
 - 	336	7.358869	-3.447129	0.167793
 - 	337	7.358767	-3.447345	0.167659
 - 	338	7.358859	-3.447273	0.167741
 - 	339	7.359056	-3.447390	0.167671
 - 	340	7.359096	-3.447552	0.167500
 - 	341	7.359028	-3.447792	0.167225
