KINETIC_KINEMATIC::LFT::ProxEndPos
File	Frame	X 	Y 	Z 
 - 	491	7.339267	-3.688972	0.164074
 - 	492	7.339180	-3.688933	0.164056
 - 	493	7.339111	-3.688881	0.164023
 - 	494	7.339296	-3.688847	0.163942
 - 	495	7.339222	-3.688808	0.163893
 - 	496	7.339050	-3.688792	0.163852
 - 	497	7.338923	-3.688781	0.163817
 - 	498	7.338761	-3.688769	0.163796
 - 	499	7.338600	-3.688729	0.163791
 - 	500	7.338680	-3.688669	0.163754
 - 	501	7.338528	-3.688628	0.163748
 - 	502	7.338527	-3.688584	0.163750
 - 	503	7.338511	-3.688512	0.163758
 - 	504	7.338431	-3.688464	0.163756
 - 	505	7.338354	-3.688428	0.163744
 - 	506	7.338460	-3.688429	0.163682
 - 	507	7.338355	-3.688372	0.163638
 - 	508	7.338266	-3.688291	0.163595
 - 	509	7.338157	-3.688243	0.163562
 - 	510	7.338065	-3.688190	0.163526
 - 	511	7.337996	-3.688141	0.163484
 - 	512	7.338140	-3.688169	0.163397
 - 	513	7.338008	-3.688136	0.163324
 - 	514	7.337877	-3.688083	0.163257
 - 	515	7.337693	-3.688055	0.163203
 - 	516	7.337533	-3.688020	0.163150
 - 	517	7.337446	-3.687994	0.163081
 - 	518	7.337502	-3.688023	0.162980
 - 	519	7.337206	-3.688011	0.162902
 - 	520	7.336816	-3.687978	0.162821
 - 	521	7.336450	-3.687926	0.162741
 - 	522	7.336188	-3.687906	0.162645
 - 	523	7.335956	-3.687906	0.162552
 - 	524	7.335839	-3.687963	0.162459
 - 	525	7.335511	-3.687986	0.162410
 - 	526	7.335375	-3.687999	0.162350
 - 	527	7.335263	-3.688087	0.162280
 - 	528	7.335219	-3.688239	0.162190
 - 	529	7.335306	-3.688422	0.162090
 - 	530	7.335630	-3.688704	0.161941
 - 	531	7.335763	-3.689002	0.161781
 - 	532	7.335767	-3.689293	0.161649
 - 	533	7.335620	-3.689599	0.161566
 - 	534	7.335616	-3.689685	0.161511
 - 	535	7.335565	-3.689764	0.161462
 - 	536	7.335650	-3.689944	0.161425
 - 	537	7.335443	-3.689939	0.161472
 - 	538	7.335322	-3.689795	0.161544
 - 	539	7.335353	-3.689656	0.161610
 - 	540	7.335335	-3.689629	0.161702
 - 	541	7.335368	-3.689584	0.161844
 - 	542	7.335668	-3.689646	0.162016
 - 	543	7.335722	-3.689642	0.162243
 - 	544	7.335901	-3.689600	0.162510
 - 	545	7.336151	-3.689486	0.162806
 - 	546	7.336423	-3.689306	0.163096
 - 	547	7.336768	-3.689027	0.163373
 - 	548	7.337362	-3.688840	0.163619
 - 	549	7.337885	-3.688552	0.163932
 - 	550	7.338447	-3.688303	0.164287
 - 	551	7.339103	-3.688126	0.164646
 - 	552	7.339750	-3.687969	0.165029
 - 	553	7.340442	-3.687791	0.165432
 - 	554	7.341361	-3.687761	0.165780
 - 	555	7.342318	-3.687387	0.166145
 - 	556	7.343324	-3.686976	0.166484
 - 	557	7.344446	-3.686576	0.166808
 - 	558	7.345467	-3.686220	0.167133
 - 	559	7.346378	-3.685962	0.167441
 - 	560	7.346869	-3.685975	0.167807
 - 	561	7.347406	-3.685780	0.168214
 - 	562	7.347950	-3.685522	0.168619
 - 	563	7.348204	-3.685520	0.168959
 - 	564	7.348289	-3.685993	0.169218
 - 	565	7.348469	-3.686416	0.169398
 - 	566	7.348860	-3.686679	0.169416
 - 	567	7.349013	-3.686531	0.169306
 - 	568	7.349351	-3.686485	0.169092
 - 	569	7.349700	-3.686606	0.168803
 - 	570	7.350007	-3.686770	0.168528
 - 	571	7.349768	-3.686915	0.168209
 - 	572	7.349346	-3.687323	0.167994
 - 	573	7.348969	-3.687245	0.167949
 - 	574	7.348974	-3.687004	0.167988
 - 	575	7.349297	-3.686769	0.168098
 - 	576	7.349484	-3.686608	0.168303
 - 	577	7.349541	-3.686468	0.168642
 - 	578	7.349338	-3.686463	0.169092
 - 	579	7.348600	-3.686154	0.169681
 - 	580	7.347528	-3.685891	0.170354
